date;country;visa_title;baden_man;baden_woman;bayern_man;bayern_woman;berlin_man;berlin_woman;brandenburg_man;brandenburg_woman;bremen_man;bremen_woman;hamburg_man;hamburg_woman;hessen_man;hessen_woman;mecklen_man;mecklen_woman;niedersachsen_man;niedersachsen_woman;nordrhein_man;nordrhein_woman;rheinland_man;rheinland_woman;saarland_man;saarland_woman;sachsen_man;sachsen_woman;sachsen_anhalt_man;sachsen_anhalt_woman;schleswig_man;schleswig_woman;thueringen_man;thueringen_woman
31.12.1999;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;375;218;740;401;331;230;108;67;26;11;157;84;361;219;10;5;120;95;652;346;87;62;51;25;144;61;68;36;50;17;67;32
31.12.2000;China;Freiz�gigkeit nach EU-Recht;16;51;15;34;9;12;-;2;-;-;5;4;12;16;1;1;3;8;17;58;5;10;-;-;-;-;2;1;3;7;2;1
31.12.2000;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3;1;2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;3;4;-;-;-;-;-;-;-;-;2;-;-;-
31.12.2000;China;Unbefristeter Aufenthaltstitel;345;396;463;478;464;438;25;31;60;65;214;163;280;307;19;12;158;163;573;568;151;154;33;33;35;30;23;23;66;84;12;21
31.12.2000;China;Befristeter Aufenthaltstitel;2669;2247;2080;1865;2032;1507;294;181;327;222;1994;1103;1521;1363;138;96;1150;907;3833;3150;866;845;287;185;745;525;299;283;427;232;230;180
31.12.2000;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2000;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2000;China;Befr. AE.aus v�lkerr.,human.,pol.Gr�nden,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2000;China;Befr.Aufenthaltserlaubn. a.fam. Gr�nden, AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2000;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;2669;2247;2080;1865;2032;1507;294;181;327;222;1994;1103;1521;1363;138;96;1150;907;3833;3150;866;845;287;185;745;525;299;283;427;232;230;180
