date;country;visa_title;number
31.12.2003;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;346
31.12.2004;China;Freizügigkeit nach EU-Recht;27
31.12.2004;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1
31.12.2004;China;Unbefristeter Aufenthaltstitel;417
31.12.2004;China;Befristeter Aufenthaltstitel;3939
31.12.2004;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-
31.12.2004;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-
31.12.2004;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;-
31.12.2004;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;-
31.12.2004;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;3939
31.12.2004;China;Antrag auf einen Aufenthaltstitel gestellt;1
31.12.2004;China;Duldung;619
31.12.2004;China;Aufenthaltsgestattung;114
31.12.2004;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;324
31.12.2005;China;Freizügigkeit nach EU-Recht;23
31.12.2005;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1
31.12.2005;China;Unbefristeter Aufenthaltstitel;466
31.12.2005;China;Befristeter Aufenthaltstitel;4000
31.12.2005;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;50
31.12.2005;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;31
31.12.2005;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;1
31.12.2005;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;14
31.12.2005;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;3904
31.12.2005;China;Antrag auf einen Aufenthaltstitel gestellt;69
31.12.2005;China;Duldung;597
31.12.2005;China;Aufenthaltsgestattung;36
31.12.2005;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;298
31.12.2006;China;Freizügigkeit nach EU-Recht;28
31.12.2006;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;2
31.12.2006;China;Unbefristeter Aufenthaltstitel;501
31.12.2006;China;Befristeter Aufenthaltstitel;4075
31.12.2006;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2428
31.12.2006;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;912
31.12.2006;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;51
31.12.2006;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;314
31.12.2006;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;370
31.12.2006;China;Antrag auf einen Aufenthaltstitel gestellt;101
31.12.2006;China;Duldung;539
31.12.2006;China;Aufenthaltsgestattung;20
31.12.2006;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;279
31.12.2007;China;Freizügigkeit nach EU-Recht;31
31.12.2007;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1
31.12.2007;China;Unbefristeter Aufenthaltstitel;549
31.12.2007;China;Befristeter Aufenthaltstitel;4166
31.12.2007;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2402
31.12.2007;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1098
31.12.2007;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;58
31.12.2007;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;377
31.12.2007;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;231
31.12.2007;China;Antrag auf einen Aufenthaltstitel gestellt;97
31.12.2007;China;Duldung;498
31.12.2007;China;Aufenthaltsgestattung;19
31.12.2007;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;252
31.12.2008;China;Freizügigkeit nach EU-Recht;38
31.12.2008;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;-
31.12.2008;China;Unbefristeter Aufenthaltstitel;614
31.12.2008;China;Befristeter Aufenthaltstitel;4101
31.12.2008;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2281
31.12.2008;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1204
31.12.2008;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;58
31.12.2008;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;405
31.12.2008;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;153
31.12.2008;China;Antrag auf einen Aufenthaltstitel gestellt;110
31.12.2008;China;Duldung;443
31.12.2008;China;Aufenthaltsgestattung;38
31.12.2008;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;231
31.12.2009;China;Freizügigkeit nach EU-Recht;44
31.12.2009;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1
31.12.2009;China;Unbefristeter Aufenthaltstitel;745
31.12.2009;China;Befristeter Aufenthaltstitel;3889
31.12.2009;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2140
31.12.2009;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1126
31.12.2009;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;80
31.12.2009;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;437
31.12.2009;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;106
31.12.2009;China;Antrag auf einen Aufenthaltstitel gestellt;122
31.12.2009;China;Duldung;417
31.12.2009;China;Aufenthaltsgestattung;83
31.12.2009;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;221
31.12.2010;China;Freizügigkeit nach EU-Recht;41
31.12.2010;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1
31.12.2010;China;Unbefristeter Aufenthaltstitel;823
31.12.2010;China;Befristeter Aufenthaltstitel;3717
31.12.2010;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;1966
31.12.2010;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1084
31.12.2010;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;95
31.12.2010;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;480
31.12.2010;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;92
31.12.2010;China;Antrag auf einen Aufenthaltstitel gestellt;114
31.12.2010;China;Duldung;411
31.12.2010;China;Aufenthaltsgestattung;85
31.12.2010;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;225
31.12.2011;China;Freizügigkeit nach EU-Recht;40
31.12.2011;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;4
31.12.2011;China;Unbefristeter Aufenthaltstitel;905
31.12.2011;China;Befristeter Aufenthaltstitel;3694
31.12.2011;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;1858
31.12.2011;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1178
31.12.2011;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;72
31.12.2011;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;508
31.12.2011;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;78
31.12.2011;China;Antrag auf einen Aufenthaltstitel gestellt;313
31.12.2011;China;Duldung;453
31.12.2011;China;Aufenthaltsgestattung;75
31.12.2011;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;379
31.12.2012;China;Freizügigkeit nach EU-Recht;41
31.12.2012;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;4
31.12.2012;China;Unbefristeter Aufenthaltstitel;1073
31.12.2012;China;Befristeter Aufenthaltstitel;4182
31.12.2012;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2143
31.12.2012;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1314
31.12.2012;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;102
31.12.2012;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;541
31.12.2012;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;82
31.12.2012;China;Antrag auf einen Aufenthaltstitel gestellt;252
31.12.2012;China;Duldung;395
31.12.2012;China;Aufenthaltsgestattung;69
31.12.2012;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;431
31.12.2013;China;Freizügigkeit nach EU-Recht;38
31.12.2013;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;4
31.12.2013;China;Unbefristeter Aufenthaltstitel;1252
31.12.2013;China;Befristeter Aufenthaltstitel;4466
31.12.2013;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2394
31.12.2013;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1304
31.12.2013;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;100
31.12.2013;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;587
31.12.2013;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;81
31.12.2013;China;Antrag auf einen Aufenthaltstitel gestellt;259
31.12.2013;China;Duldung;364
31.12.2013;China;Aufenthaltsgestattung;111
31.12.2013;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;536
31.12.2014;China;Freizügigkeit nach EU-Recht;39
31.12.2014;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3
31.12.2014;China;Unbefristeter Aufenthaltstitel;1415
31.12.2014;China;Befristeter Aufenthaltstitel;4766
